Episode,Duration,Ad Spot (mm:ss),Position (%),Context
ELFCM560,20:04,09:09,45.6,"for long-term residents and their children to become citizens isn’t just a question of fairness, so the argument goes; it’s also a practical solution to a looming demographic crisis. In short, Italy needs more people, and many argue that it should start by giving citizenship to people who are already there."
ELFCM561,20:26,09:15,45.3,"They worked, paid their taxes, bought houses, voted in elections, had children, and then grandchildren, and were able to live and exist like any other British citizen. Then, in 2012, everything changed. The British government, under Conservative leadership, started to roll out a new policy it called its “hostile"
ELFCM562,19:19,08:47,45.5,"That might not be all that much for a larger country, but for a small country like Malta, with a population of less than half a million, it equated to more than €3,000 for every man, woman and child. Yes, not all of this money reached the average person in Malta, and there are widespread allegations of corruption and cronyism, with"
ELFCM563,21:55,09:53,45.1,"barge–a boat–anchored in the middle of a lake, far from anyone who might be harmed if something went wrong. And then, after years of experimentation, he made a breakthrough. He discovered that if you mixed nitroglycerin with a kind of absorbent clay called kieselguhr, it became far more stable."
ELFCM564,26:00,11:45,45.2,"answer to the East India Company Importantly, this new company had a pretty wide remit; it was intended to go on a bunch of different missions, not just Darién. And so in July 1698, the first ships set sail. There were five in total, carrying around 1,200 settlers, along with"
ELFCM565,23:11,10:22,44.8,"the story of someone’s life, which typically follows a chronological order, but sometimes it’s harder, and it takes a bit more time and thought to get it right. Then, I start writing. When I first started, I would write out general bullet points rather than the entire script, but when it came to recording, I found this meant I"
ELFCM566,23:11,10:17,44.4,"And if it isn’t polluted, it’s often used inefficiently, for things that simply aren’t a good use of limited water. Globally, around 70% of all freshwater is used for agriculture. Sure, agriculture is a perfectly good use of water in some cases, but in many countries with limited water resources, that water is diverted"
ELFCM567,22:20,10:04,45.1,"Now, before we get into any discussion of the morality of this, it was clearly a very good business: in the United States alone, there are 37 million active illegal drug users. And the nature of drug use and drug addiction is that it is, almost by definition, a repeat purchase. Buy, use, buy, use, buy, use."
ELFCM568,23:09,10:31,45.4,"but for which the US government charged $0.08 per page for users to access. Swartz believed these should be free, especially as the court system made a $150 million a year profit from selling them. He wrote a script that downloaded them en masse and managed to download 20 million pages of court documents—an estimated 20% of the total."
ELFCM569,24:32,11:04,45.1,"He had suffered from some chronic back problems, so there was a personal reason for him to feel animosity towards the healthcare system, but it was nothing particularly out of the ordinary. And as more details emerged about Mangione, his manifesto, and the crime, instead of criticism, there were widespread social media posts in"
ELFCM570,27:16,12:23,45.5,"Now, to explain why this is important, in the United States, federal government spending is split into three categories: mandatory spending, discretionary spending, and interest on government debt. Mandatory spending refers to the money that the government is obligated to spend on its citizens, including programs such as Social Security and Medicare."
ELFCM571,25:03,11:23,45.4,"linked to the PLO—the main umbrella group led by Yasser Arafat—it often operated more independently, and in this case, it’s believed without Arafat’s direct authorisation. So, to put it simply, it seemed like these men were trying to use the Achille Lauro as a bargaining chip. They thought that with almost"
ELFCM572,22:13,10:00,45.1,"Roman politics or the Roman army, he seemed like the obvious successor. He was the son of the heroic general Germanicus and the adopted grandson of Rome’s first emperor, Augustus. He seemed to embody a golden future, a new chapter for Rome. And, sure enough, he arrived in Rome and was hailed as emperor."
ELFCM573,33:48,15:17,45.2,"Agrippina was horrified. To her, it was not just a disgrace, the emperor of Rome lowering himself to consort with a freedwoman, but a threat to her own position. If Acte gained influence, Agrippina’s grip on her son would weaken even further. According to the historian Tacitus, Agrippina’s fury was such that she even"
ELFCM574,25:06,11:24,45.4,"In a single day, he is reported to have killed 100 lions, which is, of course, no reflection on his talents as a marksman, as an archer, but rather of his insatiable thirst for blood. And he is also remembered for getting into the arena himself, for a “fight” with human gladiators. Again, his survival is no reflection"
ELFCM575,21:33,09:44,45.2,"and summarising their happiness. Psychologists know that memory is unreliable: we tend to overemphasise the highs and lows, and undercount the ordinary moments. This is sometimes referred to as the “peak–end rule”: when people recall an experience, they mostly remember the most intense moment, the “peak”,"
ELFCM576,23:13,10:29,45.2,"Crédit Agricole, casually trying to sell a handful of gold ingots. But these weren’t just any ingots; they were numbered, part of the stash lifted from the vault in Nice. The police closed in, arrested him, and the net began to tighten. Within two days, two other men, Francis Pellegrin and Alain"
ELFCM577,21:59,09:57,45.3,"a clear incentive to go to university. Mastering Roman and canon law wasn’t just an intellectual exercise; it was a ticket to a career as a notary, a judge, or an adviser to a bishop or prince. In a society where almost all power was mediated through law or the Church, education became a pathway to influence, and one that was worth paying for."
ELFCM578,21:48,09:55,45.5,"Most British students move away from home to go to university; it’s unlike many European countries, where most students will go to the closest university and still live at home. In the UK, people typically move away from home and will spend their first year in what’s called a “halls of residence”, essentially a large building"
ELFCM579,22:01,09:58,45.3,"perhaps unnecessary, errors. The first was with language. In the United States, like in many countries, it is the government that decides what can call itself a university. The word means something, and for an educational institution to call itself a university, it needs authorisation. Trump University didn’t have this."
ELFCM580,20:40,09:22,45.4,"Valkyrie wasn’t a secret plot. It had been drawn up as a genuine emergency plan to crush unrest or uprisings, and Hitler himself even signed off on it. But unbeknownst to Hitler, Operation Valkyrie was being used to take him down. It was a clever idea in theory. Kill Hitler, declare that he had been"
ELFCM581,29:10,13:11,45.2,"would then secretly send them to Iran. In practice, Israel supplied some missiles from its own stocks, with U.S. approval, and would later be replenished by the United States. The Iranians would pay the agreed price, and the hostages would be released. It all went to plan, apart from the small detail that not all"
ELFCM582,24:35,11:03,45.0,"and prosperous on the surface, but fragile and unstable underneath. And it was in this Italy — divided, restless, and full of tension — that the bombs began to explode. Indeed, the explosion at the bank in Milan was not the only bomb that day. In Rome, three bombs exploded at almost exactly the same time, with"
ELFCM583,21:05,09:29,45.0,"that his colleagues were sacrificing him for political principle. These communications kept the public up to date with the “trial” and their demands for Moro’s release. Initially, the kidnappers demanded the release of 13 imprisoned members of The Red Brigades, but this was later reduced to one."
ELFCM584,20:24,09:10,45.0,"Mussolini, and his presence gave a sense of dignity to the mourning. The funerals were held in Bologna’s Piazza Maggiore, the great square at the heart of the city. Thousands upon thousands of people stood in silence, clutching photographs, waving black flags, demanding justice. But justice for whom?"
ELFCM585,19:57,09:01,45.2,"giant menace to the environment. 22 times more emissions sounds bad, but firstly, that number has proved not to be correct, and secondly, it’s important to see it in perspective. On the first point, according to a recent study, a single Google Gemini text query, so a single use of Google’s AI, uses 0.24 Wh of"
ELFCM586,18:01,07:45,43.1,"announced that it would be selling a limited edition “gravy gelato”. Not gravy “ice cream”, which might be just normal, bog standard low-quality ice cream, but premium gravy “gelato”. According to the official release, “With a luxuriously velvety texture that melts in your mouth, this unexpected savoury delight blends"
ELFCM587,20:04,09:03,45.1,"needs to figure out the exact date when humans started taking pictures of themselves en masse, well, the choice of ‘selfie’ as Word Of The Year provides a pretty good clue. And we can go on. In 2016, ‘post-truth’ was the word of the year. This referred to a time when"
ELFCM588,18:33,08:16,44.6,"functions, death, sex and intelligence. So, let’s take these four categories one by one. We’ve already started on the bodily functions, so let me continue. Use the restroom, go to the bathroom, spend a penny, powder your nose, answer nature’s call, go to the little boys’ or little girls’ room, use the facilities;"
ELFCM589,21:21,09:36,45.0,"great for individual users. After all, people weren’t really opening up Facebook to see a link to a news story or a poster about a special deal on coffee; they wanted to see their friends. But it was kind of ok. Then Facebook started encouraging advertisers onto the platform. We have all these people."
ELFCM590,26:05,11:48,45.2,"His parents ran a small sausage factory; they were not wealthy, but they put a high value on education and they quickly realised that their eldest son was not like other children. He was off-the-charts intelligent. By the age of six, Ted was doing complex arithmetic in his head. By eight, he was reading advanced"
ELFCM591,24:13,10:55,45.1,"of those charged with or suspected of crime–especially minors–the trend is that these children typically come from second-generation immigrant backgrounds, often with parents on low incomes. To these children, entering the criminal world offers an easy ticket to riches, one job, just an hour’s work, and you can get paid more than your"
ELFCM592,26:48,12:04,45.0,"have only got fewer than 19,000 votes directly, but everyone voting for a Labour MP in their constituency was indirectly voting for him as Prime Minister, because he was the Labour leader. The consequence of this system, the so-called “first past the post” system, is that it disproportionately rewards larger parties."
ELFCM593,23:47,10:35,44.5,"But it was in one civilisation above all others that the eunuch system reached its most elaborate, most organised, and arguably most powerful form. Imperial China. If you imagine all the well-known court eunuchs of world history — the ones who ruled behind the throne, advised emperors, led military expeditions, or controlled"
ELFCM594,29:01,13:06,45.2,"really was an imminent succession plan. Suddenly, MBS was one of the sons of the next King, and he began to position himself right at the heart of the royal court. Sure enough, in January, 2015, King Abdullah died, and the crown passed to Salman, MBS’s father. Now, Salman had other sons, but he made it"
ELFCM595,26:03,11:42,45.0,"Key to this entire project was MBS’s firm belief that NEOM, and The Line, wasn’t simply his vanity project; it was to be an attractive investment opportunity for foreigners. See, there was no shortage of foreign companies that would happily take Saudi cash, but there was a serious shortage of foreign companies who wanted to"
ELFCM596,24:25,10:58,44.9,"Friends told him his name was being discussed at the highest levels. Khashoggi understood the risks, but he believed he had a degree of protection. He was well-known. He lived in the United States. He was a high-profile columnist for a newspaper owned by Jeff Bezos, the founder of Amazon, and someone"
ELFCM597,27:34,12:18,44.6,"Now, the obvious question is, “if demand is so high, why don't we just build more houses?” This is where we need to talk about housing supply. Because alongside all these financial factors pushing up prices, there's also been a chronic failure to build enough housing"
ELFCM598,25:43,11:28,44.6,"The newspapers couldn't believe it. The contract made front-page headlines. People were astonished that someone could be paid such an astronomical sum just to make people laugh. But the studio president explained it simply: ""We can afford to pay Mr. Chaplin this large sum annually because the public wants Chaplin and will pay for him."""
ELFCM599,22:58,10:20,45.0,"And as humans moved from hunting to farming and started eating more bread and grains, the dogs that survived were the ones whose stomachs adapted to eat our leftovers. They literally evolved to share our dinner. And perhaps the most remarkable, or most manipulative, of the"
ELFCM600,28:21,12:48,45.1,"about to take a dark turn. If Ancient Egypt represented the peak of the cat's status in human society, medieval Europe represented its absolute nadir, its lowest point. As Christianity spread across Europe in the early medieval period, cats began to be viewed with suspicion. Why?"
ELFCM601,27:00,12:06,44.8,"Even today, you can go to traditional Chinese medicine shops and buy powdered ""dragon bone,"" which is actually fossilised animal remains, usually from Ice Age mammals. The ancient Chinese clearly found these bones, and attributed them to dragons. So fossils were definitely part of the inspiration."
ELFCM602,25:21,11:22,44.9,"of how this can work with podcasts, because I think this is one of the most powerful uses of AI, and clearly it’s relevant to you, because you are listening to one right now. So, first, listen to the episode normally. Don't look at the transcript yet. Then, before looking at the transcript, open up ChatGPT and"
ELFCM603,22:58,10:20,45.0,"The search had been called off. The authorities had declared them dead. Nobody was coming. There was an immediate collapse of spirit. The news hit them like a second crash. But then, strangely, something shifted. This knowledge that they were on their own now forced a kind of clarity, a newfound sense of urgency."
ELFCM604,24:58,11:17,45.2,"dormroom; this was a hostile act, carried out at the instigation of a Methodist church group and the US government, as part of a deliberate attempt to destabilise the country. Or at least, that was the official policy line, and what Otto confessed to in his prepared statement. Now, that version of events was,"
ELFCM605,27:25,12:18,44.9,"He was still the eldest son of Kim Jong-il. And that made him, in theory, a potential rallying point for anyone who might want an alternative. There were whispers that China was quietly keeping Kim Jong-nam as what one analyst called ""a spare"", a sort of insurance policy in case Kim"
ELFCM606,23:28,10:34,45.0,"fact that his now ex-wife, a woman called Choi Eun-hee, had been the lead actress in many of his films. This, of course, was the same Choi you heard about at the start of the episode. Kim Jong-il knew all of this. And he had a plan. The plan didn’t start with a telephone call to Shin and promises that a spell"
