episode,duration,ad_spot,pct_through,context
ELFCM029,14:09,06:13,44.0,"And finally, after working through the night, they finally crack the pattern and understand the connections between the dots. This is basically what Palantir does, but infinitely faster and on an infinitely larger scale. Palantir might piece together data from millions of different sources that can tell us that someone has missed days from work recently, has visited a hardware store and bought unusual things, has"
ELFCM030,16:25,07:21,44.8,"But still, there was no sign of him. And there were hundreds of theories about who he actually was, or even, was it one individual or a group of people? Some said that the fact that the murders happened around weekends or public holidays and all within a very close vicinity of one another, they were very close to one another, meant that he must have"
ELFCM031,20:20,09:13,45.3,"The closer the words on the website are to the words that you're searching, in general, the more relevant Google will think that page is for you. Back when Google started, over 20 years ago now, people use to fill websites up with supposedly"
ELFCM032,13:46,06:11,44.9,"And if there was one thing that you didn't want to do, it was to get on the wrong side of Henry the Eighth, to make him angry. And Anne Boleyn got on the wrong side of Henry the Eighth. Just three years after they were married, Henry had her beheaded, executed in the Tower of London. And only days after Anne's head was separated from her body, Henry took his third wife, Jane"
ELFCM033,19:28,08:47,45.1,"So that's what's called the poverty trap, it's very hard to get out of this cycle. A Universal Basic Income would remove this, as you'd get the money whether you worked or not. Working would just mean that you got more money, not less. Also, and this is something that we touched on in our podcast on bullshit jobs, a Universal Basic Income would be far easier to administer."
ELFCM034,13:51,06:08,44.3,"they created huge egg ovens, which could hatch four and a half thousand eggs in two to three weeks. The advantage of this was, of course, that it means that the hens didn't need to sit on their eggs and they could get back to the task of laying more eggs. From Egypt the chicken continued to spread throughout the Mediterranean and it soon became a delicacy for the Romans, who were probably the first civilisation to try to industrialise the"
ELFCM035,15:06,06:49,45.1,"China's largest sand producing site produces almost a million tonnes of sand per day. So, where is all this sand coming from? Do people just go to the desert with big trucks and take it back to cities? And if so, what's the big issue? The Sahara Desert is huge."
ELFCM036,15:33,07:07,45.7,"It's pretty horrible stuff. And although this frightened some men, the behaviour of the women, others ridiculed the movement, and they took this as a opportunity to ridicule women. The name of the movement, the Suffragettes, actually comes from a name that was given to the movement by a male journalist from the Daily Mail."
ELFCM037,14:48,06:44,45.5,"The result was a boom, a huge increase in the number of people producing gin. And the third factor was a reduction, a lowering of the price of food, meaning that even the poor now had some extra money in their pockets. These three factors: the increased taxes on brandy, the relaxing of legislation around production and the increased amount of disposable income created the perfect storm for a huge boom in gin"
ELFCM038,17:20,07:52,45.4,"being used, but the actual words don't help you to visualise what you are trying to describe. If that's the case, then you shouldn't use these metaphors. It would only serve to confuse the reader or listener, and therefore has no purpose. Our second rule is ""never use a long word when a short one we'll do"". Now, I guess I don't need to explain what this rule is, but what I will do is explain why it's"
ELFCM039,13:49,06:19,45.8,"Johnson, the hero of our story. When Johnson started out on his task, he saw his role as to provide order, and to help stabilise the rules surrounding the English language. He thought it had got too messy. There were too many anomalies, too many peculiarities, too many strange rules, and he saw it as his"
ELFCM040,18:06,08:06,44.8,"It's a joke. Spaghetti does not grow on trees and it is certainly not harvested high up in the hills in Switzerland. You might think, ""surely British people would never have believed that"". Well, it turns out that quite a few people did believe it, and they wrote into the BBC to ask where"
ELFCM041,16:18,07:19,44.9,"But they knew pretty soon that they were onto something. They saw 20 of the Royal Mail bags, with no money inside of course, and they also found the getaway vehicles, the cars used for the robbery. But the thieves had been pretty careful. They had wiped everything down, they had cleaned the property, to avoid leaving any fingerprints or"
ELFCM042,22:43,10:18,45.4,"If you are, let's say, a business person from China and you want to visit a client in London, then Paris and Berlin, you would have to go and apply for a UK and a Schengen visa, wait a few weeks for it to be processed, then you'd have a long and tedious immigration process. With the right passport, you skip the queue, literally, and walk into almost any country you want. So it's pretty evident why people want them."
ELFCM043,22:02,09:50,44.6,"But a tulip bulb is only formed after 7 to 12 years. When the bulb turns into a flower, the bulb disappears, but another kind of bulb is formed as well as several other things called buds, which can then be turned into bulbs. So long story short - tulip bulbs take a long time to appear, but once you have one, you can turn that into several more bulbs."
ELFCM044,18:19,08:07,44.4,"And so while the Poles had been able to read a large number of messages, they could now only read messages sent by the older machines. So it wasn't nearly quite as effective. By the time it got to 1939 and it was clear that war was going to break out any minute, the Polish mathematicians decided to share their work with the British and French."
ELFCM045,16:52,07:38,45.3,"and he was taken to the Tower of London where he was interrogated. Finally, after repeated days of torture, he revealed the names of his conspirators most of whom were captured by the King's troops. The punishment for attempted murder of the King was, as you'd expect, pretty serious."
ELFCM046,22:02,09:55,45.1,"government friendly because of the other regional rivalries. So firstly, their neighbour, Pakistan, which is actually where it's thought that a lot of the Taliban studied. Then also Saudi Arabia and the UAE, the United Arab Emirates, who were very keen to have an influence in the region, especially if it meant"
ELFCM047,18:56,08:26,44.5,"on Fox News saying that they will boycott, they will stop shopping with them, if they don't. On one level, these petitions have worked, they have served their purpose. Lots of advertisers have indeed pulled their adverts from Fox News. One show, the Tucker Carlson show, has lost dozens of advertisers, and it's estimated that advertising revenue, the money they"
ELFCM048,21:28,09:35,44.7,"the virus spread very easily from soldier to soldier. Indeed, one of the first times that the virus was actually reported was in an army camp in Kansas in the United States. In this camp, there were around 50,000 soldiers who were waiting to be shipped to Europe to fight. Early one morning in March, 1918, a soldier reported himself"
ELFCM049,22:06,10:01,45.4,"It is all structured around the economist's favourite incentive: price. Firstly, there is a minimum price that a Fairtrade farmer gets, for the products that he or she sells. This means that, even in times when the price of something might go very low, that farmer still receives the minimum price for the goods that they sell."
ELFCM050,06:58,03:10,45.7,"But you have to use the code April4 so A P R I L four and that gets you 20% off, so it gets you the membership for four euros a month. But be quick, we are limiting this to the first 50 members to use the code. So go and check that out, it is at leonardoenglish.com/subscribe. From now on, you will need to be a Listener member to get access to all of"
ELFCM051,24:10,10:49,44.7,"The queen, despite being technically the head of state and having the power to appoint and dismiss a prime minister, she never expresses any public opinion about anything really, political or otherwise. Indeed, after the Brexit vote in 2016, there was a lot of speculation that she actually disagreed with the way that the vote had gone because of some of the clothes that she wore."
ELFCM052,17:20,07:48,45.0,"first Guinness Book Of Records was done, it was complete. Around a thousand copies were printed and they were given out for free, the idea being that people could read them while they were enjoying a refreshing pint of Guinness. But when it was first published, neither the twins nor Guinness were to know what they had started."
ELFCM053,22:37,10:14,45.2,"because what if the seller just said they didn't receive it? You couldn't go to the police and say that your parcel of drugs or fake passports hadn't arrived. The answer, if you weren't aware, is Bitcoin. A proper discussion of Bitcoin is probably a subject for another episode, but it"
ELFCM054,23:07,10:27,45.2,"But it was in 1985 when our story really starts to get interesting again as it was bought by the Egyptian Mohamed Al-Fayed. Now, Al-Fayed was, and still is, I should say, a larger than life character. He is anything but boring. He is an Egyptian and had accumulated a large amount of money through"
ELFCM055,17:49,08:04,45.3,"So we've talked about a few weird and wonderful etymologies in English, but of course for words like quarantine, the equivalent in languages like Spanish and French are also pretty similar. So they aren't unique to English, but they are pretty interesting nonetheless. Now it's time to talk about a few more weird and wonderful origins of words, words"
ELFCM056,17:46,08:03,45.3,"And just in case people didn't know how much he loved horses, he ,like his predecessor decided to build a huge gold statue of himself on a horse that sits on top of a 20 metre high white marble statue in the capital of Turkmenistan, Ashgabat. You may have heard his name because he was in the news last year, in 2019, as they were reports that he had died."
ELFCM057,19:57,09:01,45.2,"in thousands of people losing their jobs and thousands more families being affected. The trade unions, as I said earlier on, were very strong at this time, and the miners went on strike. In 1979 alone, 29 million working days were lost, and it's estimated that this cost Britain about one and a half billion pounds."
ELFCM058,19:30,08:49,45.2,"are a few numbers just to remind you of what we are all dealing with. Since 1950, 8.3 billion tonnes of plastic has been produced, and of that 6.4 billion is no longer in use, it's now considered useless. So where is this 6.4 billion tonnes of plastic then? Well, of the 6.4 billion, 79% is either in"
ELFCM059,18:33,08:20,44.9,"remember that life in Victorian Britain for the majority of people was pretty tough. Poverty was widespread, living conditions were pretty terrible, and generally it wasn't a great time to be alive. Albert, Queen Victoria's husband was acutely aware of this situation and wanted to keep the cost of tickets low so that anyone in society could attend."
ELFCM060,16:56,07:31,44.4,"If you laugh when you're delivering a joke, you've failed, or you're American. It's almost like it's a competition. The person hearing the joke first has to laugh and only then are you allowed to laugh. Or if you are being very British, nobody laughs, there's just a mutual understanding that it was a joke, it was funny, but that there's no need to physically express your amusement."
ELFCM061,13:37,06:15,45.9,"Firstly, a couple of senior employees resigned, they handed in their notice, saying that they weren't happy that their junior employees' salaries had been raised so much as it would make them lazy and the company uncompetitive. Secondly, there was a big influx of job applications. This minimum wage was significantly above the average for the area, and, understandably,"
ELFCM062,16:12,07:19,45.2,"To give you an example of this, if I used to make something and export it for $10, but now, because the currency in my country has increased in value, I need to sell the same thing for $20, well, there are going to be fewer people that will want to buy it. Because the export industry becomes less competitive, it doesn't grow, and so the country becomes completely reliant on the money it gets from exporting its natural resources."
ELFCM063,21:01,09:33,45.5,"Mario called back later, and said that this Barbarella had told him that she had run away from home because she was bored, but she was planning to come back home at the end of the summer for her sister's wedding. This did seem credible. Her sister was getting married and potentially this could"
ELFCM064,16:36,07:27,44.9,"But restaurants work with very small margins they don't generally make much profit anyway, and paying a third of the money you get out to a food delivery app can make running a sustainable business very difficult. What's more, when these food delivery apps run offers, so $10 off or get 20% off today in order to entice customers, the commission that they take from the restaurants is"
ELFCM065,21:27,09:34,44.6,"fears, they capitalised on the fears that people had about tap water. They tried to get people to be afraid of drinking water from the tap, and instead to buy bottled water. There were famous advertising campaigns with taglines like ""tap and toilet water come from the same source, don't you deserve better?"""
ELFCM066,16:39,07:28,44.8,"recently executed people, politicians and aristocrats who had their heads cut off at the guillotine. People could now come to his museum and marvel at the waxworks of others who had recently been killed. They could stand right there in front of the heads of famous people who had been executed at the guillotine just weeks before."
ELFCM067,17:17,07:47,45.1,"And within a few years, It was being sold into households all over America. And to think, if he hadn't put his hand into his pocket that day, well, perhaps the story of the microwave would have been slightly different. Next up is Viagra. Now, Viagra, which I think is the same word in almost every language."
ELFCM068,19:46,08:52,44.9,"But also, the fewer speakers of a language that do exist, the fewer opportunities those people have to speak that language, and as we all know, if you don’t actually use a language, you start to speak less fluently in it, and you start to lose the language yourself. And if you are the only speaker of a language and you don’t have anyone left to practice with, well then that language is quickly on the path to becoming extinct."
ELFCM069,18:25,08:22,45.5,"Portuguese, and so on - and the rest are from Germanic and Slavic languages, and also Greek. So about half of the world’s population should at least be already familiar with some of the vocabulary, which means it’s easier to learn, as you aren’t starting from nothing. What’s more, Zamenhof created the language so that it was intentionally very easy to learn. You didn’t need formal schooling, or years of study - the idea was that anyone, regardless of"
ELFCM070,21:47,09:48,45.0,"new global organisation, that there needed to be a global declaration of human rights that applied to every human on the planet, no matter what country they came from, their gender, their religion, the colour of their skin, or anything else that might differentiate one person from another. These were to be inalienable rights, rights that cannot be taken away. And the result of this was this declaration, in 1948, with"
ELFCM071,20:09,09:02,44.9,"He became very interested in Afghanistan and central Asia, and he longed for the chance to explore it properly. It was the wild west, to the Brits. From its geography to its culture, very little was known about it. And if Britain was to establish good relations, and a trade route, then they"
ELFCM072,19:23,08:39,44.6,"offenses, one third of them, half a million end up behind bars. And this as I'm sure we all know has an inordinate impact on the black community, with one in five black Americans spending time behind bars for drug offenses. 13% of the American population is black, yet 40% of the incarcerated population, the population in prison is black."
ELFCM073,14:40,06:34,44.8,"published an opinion piece on the front page saying “This is a British paper, run by British people ... as British as roast beef and Yorkshire pudding ... Let us keep it that way"". Instead, the News of the World was sold to another media tycoon, a man called Rupert Murdoch. Now, if you have listened to the episode on Fox News, you will know all about Rupert Murdoch. He became a bitter rival of Maxwell’s, and they both ended up fighting for"
ELFCM074,16:12,07:23,45.6,"the world stage to be Donald Trump’s running mate for re-election in November 2020. And, perhaps even harder to believe is that Trump is actually Q, and he is busy giving encrypted messages about national security to his followers. The people who believe this do so because they look at his tweets and see references to him admitting that he is Q."
ELFCM075,21:18,09:32,44.8,"These new apartment blocks to the north of the city became wholesale drug markets. Their design made them almost the perfect place for selling drugs without the fear of being caught by the police. They had vast internal areas, and they could be closed off from the outside. They were often in large, open areas, so if there was a police raid, the lookouts,"
ELFCM076,18:21,08:17,45.2,"But, as is often the case, things that look good on paper, don’t always work out so well in the real world, and the World Bank has come under a lot of criticism for the way in which it dealt with countries, and the impact of these World Bank loans has not always been as anticipated. The first thing to say is that World Bank loans normally require some form of what’s called Structural Adjustment."
ELFCM077,21:53,09:54,45.3,"Yet there was still a problem. What happened if you, as an Englishman in London let’s say, in 1870, wanted to send a letter to someone in another country, let’s say you wanted to send it to Rome, in Italy for example? Well, this was still very complicated. The letter that you wanted to send would, of course, have to travel"
ELFCM078,17:30,08:01,45.8,"right to be there, and they were prepared to defend their territory .   Occasionally, when a fishing boat got too close, the Somali fishermen would get on board the boats, and demand a payment from the boat’s owner. The idea behind this, reportedly I should say, was as some kind of compensation. These fishing boats had stolen all of their fish, so they needed to pay."
ELFCM079,16:29,07:24,45.0,"But of course, as a loyal member of Leonardo English, I’m sure that you are unlikely to be drunk and disorderly on the streets of the UK. And we have just one more slightly strange law relating to alcohol. Naturally, like almost every country in the world, it is against the law to be drunk and drive a car."
ELFCM080,21:20,09:42,45.5,"parties with celebrities like Paris Hilton and Kim Kardashian. For his 31st birthday, in 2012, he threw the wildest party that Las Vegas has ever seen - and I imagine it has seen quite a few wild parties. For this party, Kanye West performed, Britney Spears burst out of a cake, and there were performances from Jamie Foxx, Busta Rhymes,"
ELFCM081,14:25,06:33,45.4,"or region, you can see the vital role that the Svalbard Global Seed Vault plays. It’s a pretty amazing idea, that there is this one organisation that exists for the benefit of everyone in the world. It is a non-political organisation. It’s managed by three different parties - the Norwegian government,"
ELFCM082,15:38,07:01,45.0,"With Donald Trump, he often starts with the subject and the verb, but then might get distracted and go off on a completely unrelated subject, on a complete tangent, before coming back to finish what he was originally talking about. Or sometimes he doesn't complete the sentence at all. Understandably, this makes it incredibly difficult for anyone trying to professionally"
ELFCM083,20:48,09:19,44.9,"to the boat, but he was persuaded to do so by his crew. Another group of men got on a smaller boat, and they went out to the mystery ship, got on board, and took control of it. They then had this mystery ship under control, and the two ships set off together again. A few days later, a dense fog descended upon the two"
ELFCM084,23:50,10:48,45.3,"Tito was elected prime minister of Yugoslavia in 1945 with an overwhelming majority. He was viewed as the man who had saved the country, and it was quite right that he should take his place as its leader. The king was ousted, he was removed, and the Federal Republic of Yugoslavia was declared. Back in Moscow, Stalin was a little wary of Tito, and the"
ELFCM085,18:17,07:58,43.6,"toxic liquid inside, and these tanks are normally just left uncovered. There are some amazingly scary pictures of these Rare Earth mines in South China, and of the waste that they have all just left behind. If you close your eyes and imagine a beautiful Chinese hillside landscape, then add some highly scenic pools on the side of the hill, but the difference here is that these pools"
ELFCM086,17:39,07:51,44.5,"The Roadster could go for almost 400 kilometres on a single battery charge, and it could go from zero to 60 miles an hour in 3.7 seconds. It was a real serious car. The fact that Tesla managed this got all of the executives at big car companies thinking and in the past 15 years or so, almost every manufacturer has released its own electric cars."
ELFCM087,19:00,08:34,45.1,"recruit people to join his own secret society, The Illuminati. These new recruits would also recruit other Freemasons, and there was quickly a pretty thin line between who was a Freemason and who was in the Illuminati. The number of Illuminati members grew, and they spread geographically from their original base in Bavaria to large parts of Western Europe."
ELFCM088,17:27,07:47,44.7,"that’s a similar size to a human’s, they communicate with each other through clicks and whistles. Orca, or killer whales, have also learned to talk like dolphins. There was a study of orca where they found that they could imitate the noises of dolphins. This was an amazing discovery, as there are very few animals that are able to actually ‘learn’ sounds - when something like a dog or a cat makes a sound, they just have"
ELFCM089,20:47,09:24,45.3,"behaviour reached an entirely new, but not unexpected, level. He murdered a man. Accounts differ over exactly what happened here, but he killed a man called Ranuccio Tomassoni. One theory goes that Caravaggio and Tomassoni had an argument over a woman, potentially a prostitute, or even Tomassoni’s wife."
ELFCM090,18:15,08:20,45.7,"Medici wasn’t without his enemies, rival families who felt that the Medici had stolen their power, and Cosimo was exiled from Florence in 1433 by a rival family before being voted back in by a ruling government full of people that Cosimo had done favours for and lent money to. Cosimo understood the power of doing good things to people - you could say that this wasn’t always for completely altruistic reasons, but it certainly worked."
ELFCM091,20:04,09:04,45.2,"Indeed, for the first few years of its existence, lots of ships got stuck. It was too thin, which made it difficult to navigate, and improvements were made to widen and deepen it to stop the ships getting stuck. Despite this being a great coup for Egypt, now the proud partial owners of a brilliant example of modern civil engineering, the Egyptian government ran"
ELFCM092,23:42,10:38,44.9,"minds as this intellectual man who had a god-given right to be rich, so what did it matter if he thought that a second job that paid more than 8 times the national average was nothing? He was Boris. So, Boris Johnson uses complicated language to impress, to position himself in people’s minds as a member of the intellectual elite, born to lead the country."
ELFCM093,17:51,07:57,44.6,"Lin Zexu was not good news for the British opium dealers. He ordered the British opium merchants to hand over to him their supplies of opium,  so that he could destroy them. After some tense weeks of negotiations, and assurances from a top British diplomat that the British merchants would be compensated for their opium by the British government, the"
ELFCM094,16:02,07:15,45.3,"later turned out to be swans, or even an upside-down canoe. There have been thousands of sightings of Bigfoot across North America, going back hundreds of years. Yet, as you probably know, almost all the sightings have been debunked, and when there have been photos taken of Bigfoot, they have proved to be either faked, or of a bear or something like that."
ELFCM095,16:21,07:18,44.7,"Luxottica-owned brands, then it’s easy to see how this swiftly has become a very powerful business. And there is a lot of money in glasses and eye care. They are very cheap to produce and are sold for vast amounts of money. Even the most expensive designer glasses typically cost not much more than €30 to produce, but they can easily be sold for more than €300, ten times the cost of production."
ELFCM096,22:25,10:08,45.3,"have dragon heads carved into them, and big, red painted sails. But if you lived in a coastal town in northern Europe and you saw one of these beautiful ships with a big sail in the distance, well, I don’t imagine you would be admiring the artwork. As news of the spoils to be had, of the treasures to be taken, as it reached the communities back in Scandinavia, more and more men joined these raiding parties."
ELFCM097,17:54,08:06,45.3,"chair, with their eyes open looking at the camera, as if they were alive. The photographer might edit the photograph afterwards - not in Photoshop, of course, but they would edit the photograph by painting on it, to make the dead person look, well, not so dead. If you have seen any of these photos they truly are bizarre to us in the 21st century, but you can understand why they did them."
ELFCM098,22:56,10:20,45.1,"a natural park, invests the same amount of money, hires the same 1,000 people on the same salaries, they all love their jobs, and it makes the natural park way more attractive for guests, and actually takes CO2 out of the atmosphere, then this would have the same GDP impact as our first scenario. I’m sure you’d agree that they don’t have the same impact on everyone’s quality of life. Another criticism of GDP is that it doesn’t factor in anything that"
ELFCM099,17:33,08:00,45.6,"a hockey bag full of Canadian dollars and exchanging it all for casino chips. He comes in and passes this bag to the cashier, who puts it through the money counting machine, and it takes a whole ten minutes to count all the cash. It’s pretty mad to watch. So, that’s the first stage, get the illegal money into the money system in the first place."
ELFCM100,18:24,08:15,44.9,"of introduction to the Duke of Milan explaining how he could help him, he didn’t even really mention the fact that he was a painter, instead focussing on his talents as a military engineer, writing about how he could build bridges, guns, and weapons of war. Only right at the end of his letter did he say “I can carry out sculpture in marble, bronze or clay, and also in painting whatever may be done, and as well as any other, be he whom he may”."
ELFCM101,21:12,09:32,45.0,"out, and he continued to develop, to hone, his incredible skills as a public speaker. Membership of the British Union of Fascists continued to grow, and at its peak it’s said that it numbered around 50,000. They had their own flag, and their own uniform, the blackshirt. Members of the BUF developed a reputation for violence, and there would be huge fights"
ELFCM102,18:55,08:32,45.1,"Coldplay, he was reportedly a keen golfer and he noticed the same thing. In the summer he would often have to stop playing golf because it got dark, but most people were still asleep when the sun came up. How about just moving the clocks forward during the summer to make the most of the daylight? Note that these proposals were both made by people quite far away from the equator - for"
ELFCM103,15:53,07:05,44.7,"started to join circles of people who were also interested in mathematics, and stumbled across some good fortune by meeting a government official called Ramaswamy Aiyer, who had founded the Indian Mathematical Society. Aiyer was amazed at the work that Ramanujan had done, and was still doing, and put him in touch with another of his mathematical friends, a man called Ramachandra Rao."
ELFCM104,19:13,08:44,45.4,"shows that followed survivalists around and generally poked fun at them. There was a show called Doomsday Preppers on National Geographic that went on for 4 seasons, from 2012 to 2014. It told the stories of people who had taken what seemed to most people then as incredibly extreme measures - from spending millions of dollars on creating airtight fortresses to live"
ELFCM105,16:26,07:22,44.8,"the fate of coffee if he hadn’t tasted it himself firsthand. This seems a little bit of a strange thing for a pope to do, if you ask me, but Pope Clement VIII decided that he needed to taste this bitter invention of Satan to see for himself. He took a sip of this new, black concoction, and decided he liked it. Coffee was ok, it wasn’t an invention of Satan, and he gave it his papal blessing."
